603990,2025-04-09,1090,1110,1121,1005,120847,12938,73
603989,2025-04-09,1305,1332,1350,1256,37167,4840,-52
603988,2025-04-09,1690,1694,1704,1572,30170,4928,-88
603987,2025-04-09,651,656,661,616,79122,5048,-61
603986,2025-04-09,10199,10494,10750,9887,189652,197282,141
603985,2025-04-09,1330,1524,1524,1247,373623,51690,1004
603983,2025-04-09,3800,3595,3800,3456,17404,6211,-113
603982,2025-04-09,675,680,680,622,67437,4389,-44
603980,2025-04-09,386,392,393,362,97004,3663,0
603979,2025-04-09,3280,3286,3317,3120,96544,31047,-235
603978,2025-04-09,1125,1120,1129,1028,37360,4028,-175
603977,2025-04-09,1262,1346,1372,1217,135443,17786,491
603976,2025-04-09,1581,1578,1589,1502,11036,1700,-168
603970,2025-04-09,1400,1390,1445,1369,112581,15781,281
603969,2025-04-09,541,538,546,503,124214,6538,-55
603968,2025-04-09,914,918,920,854,28408,2522,55
603967,2025-04-09,1360,1303,1360,1256,355090,45417,-666
603966,2025-04-09,760,748,760,688,85095,6153,-145
603960,2025-04-09,1598,1627,1642,1487,82028,12831,0
603958,2025-04-09,1685,1621,1699,1502,60567,9559,-176
603956,2025-04-09,590,606,608,541,177526,10291,151
603955,2025-04-09,1600,1622,1630,1477,34726,5375,-55
603950,2025-04-09,2050,2150,2200,1987,63904,13343,180
603949,2025-04-09,1688,1681,1733,1571,104959,17278,-170
603948,2025-04-09,1597,1586,1597,1520,12224,1907,-173
603939,2025-04-09,2604,2629,2651,2522,108109,28103,-4
603938,2025-04-09,1210,1319,1329,1153,160734,19690,297
603937,2025-04-09,760,770,777,716,20911,1559,-52
603936,2025-04-09,656,671,677,615,128268,8319,-59
603933,2025-04-09,1269,1288,1307,1195,40149,5029,-108
603931,2025-04-09,2283,2425,2450,2130,40431,9324,408
603929,2025-04-09,2788,2904,2949,2668,55562,15617,126
603928,2025-04-09,866,887,915,833,127494,10970,-421
603927,2025-04-09,1842,1929,1943,1792,126616,23786,343
603926,2025-04-09,845,836,847,772,30721,2494,-256
603922,2025-04-09,2000,2060,2086,1920,24397,4881,-134
603920,2025-04-09,2120,2189,2238,2092,435951,94167,-581
603919,2025-04-09,1905,1919,1934,1868,34921,6639,-42
603918,2025-04-09,1300,1357,1361,1212,158459,20553,172
603917,2025-04-09,1060,1058,1060,972,50353,5099,-66
603916,2025-04-09,696,694,700,662,55543,3793,-100
603915,2025-04-09,1299,1390,1407,1225,198220,26368,335
603912,2025-04-09,730,766,775,681,181355,13317,173
603909,2025-04-09,795,806,808,751,18326,1428,37
603908,2025-04-09,2155,2159,2195,2028,45401,9574,-379
603906,2025-04-09,875,900,903,816,118455,10250,67
603903,2025-04-09,600,613,614,571,29549,1761,33
603901,2025-04-09,770,808,814,717,167119,12818,241
603900,2025-04-09,530,543,545,500,163588,8517,-234
603899,2025-04-09,2931,2958,2968,2872,28777,8423,7
603898,2025-04-09,880,870,880,828,18037,1539,-181
603897,2025-04-09,2087,2085,2116,1958,37544,7681,-76
603896,2025-04-09,1885,1897,1898,1822,18741,3480,-32
603895,2025-04-09,2177,2258,2268,1982,11275,2428,273
603893,2025-04-09,12600,13899,14240,12280,132127,174988,330
603890,2025-04-09,909,923,938,855,165503,14724,-284
603889,2025-04-09,526,532,535,509,97609,5093,-221
603888,2025-04-09,2070,2118,2126,1998,62295,12890,115
603887,2025-04-09,1640,1693,1724,1538,322285,52668,77
603886,2025-04-09,1374,1385,1389,1345,23421,3197,22
603885,2025-04-09,1239,1241,1245,1214,96800,11881,-80
603883,2025-04-09,1760,1778,1794,1676,205096,35604,-117
603882,2025-04-09,2820,2912,2968,2815,68627,19757,94
603881,2025-04-09,2688,2803,2848,2543,368126,100088,152
603880,2025-04-09,453,454,455,423,28566,1258,44
603878,2025-04-09,511,513,514,484,53816,2690,20
603877,2025-04-09,1651,1581,1651,1560,29597,4699,-470
603876,2025-04-09,765,760,765,720,144451,10723,-168
603871,2025-04-09,1400,1375,1404,1345,88919,12136,-214
603868,2025-04-09,3420,3453,3485,3370,6583,2256,-20
603867,2025-04-09,2286,2300,2332,2201,32494,7304,-73
603866,2025-04-09,556,563,565,541,196957,10858,54
603863,2025-04-09,1066,1114,1129,1025,84648,9139,220
603861,2025-04-09,800,813,820,755,88843,7032,-61
603860,2025-04-09,2628,2713,2722,2523,14759,3898,56
603859,2025-04-09,2580,2646,2695,2384,74198,18941,153
603858,2025-04-09,1435,1434,1437,1396,43109,6105,-69
603856,2025-04-09,1052,1048,1061,1012,18412,1908,-85
603855,2025-04-09,1758,1798,1813,1654,70105,12210,130
